,productsku,fullvisitorid,tot_interest,product_name
826,GGOEGALB036515,7603242478269861345,-2.5,Google Women's Scoop Neck Tee Black
827,GGOEYDHJ056099,5108127937752582001,13.0,22 oz YouTube Bottle Infuser
828,GGOEYOCR077799,5108127937752582001,14.0,YouTube Hard Cover Journal
829,GGOEGKAA019299,5108127937752582001,12.0,Switch Tone Color Crayon Pen
830,GGOEYFKQ020699,5108127937752582001,11.5,YouTube Custom Decals
831,GGOEGFKQ020799,5108127937752582001,9.0,Google Doodle Decal
832,GGOEGBJL013999,0126612099954375841,26.5,Google Canvas Tote Natural/Navy
833,GGOEGDHQ015399,0126612099954375841,25.0,26 oz Double Wall Insulated Bottle
834,GGOEGETB023799,0126612099954375841,26.5,Google Power Bank
835,GGOEGOAB021499,0126612099954375841,26.5,Metal Texture Roller Pen
836,GGOEGHPJ080310,0126612099954375841,26.5,Google Blackout Cap
837,GGOEGAAX0781,0126612099954375841,4.0,Google Leather Journal
838,GGOEGAAX0107,0126612099954375841,4.0,Google Men's 100% Cotton Short Sleeve Hero Tee Red
839,GGOEGAAX0280,0126612099954375841,4.0,Google Women's Short Sleeve Hero Tee Grey
840,GGOEGOCB078299,0126612099954375841,22.5,Google Leather Journal-Black
841,GGOEGAAR010715,0126612099954375841,22.5,Google Men's 100% Cotton Short Sleeve Hero Tee Red
842,GGOEGAEJ028015,0126612099954375841,22.5,Google Women's Short Sleeve Hero Tee Grey
843,GGOEGAEJ030814,903671600075470143,-2.5,Google Women's Long Sleeve Blended Cardigan Charcoal
844,GGOEGHPB080410,903671600075470143,-2.5,Google 5-Panel Snapback Cap
845,GGOEAHPJ004314,903671600075470143,-2.5,Android Stretch Fit Hat M/L
846,GGOEGFKA022299,903671600075470143,4.0,Keyboard DOT Sticker
847,GGOEGHPJ080310,903671600075470143,-2.5,Google Blackout Cap
848,GGOEAHPB076114,903671600075470143,-2.5,Android Stretch Fit Hat
849,GGOEGBRA037499,6911303723241317741,2.0,Waterproof Backpack
850,GGOEGBRB013899,6911303723241317741,2.0,Google Laptop Backpack
851,GGOEGBRJ037299,6911303723241317741,2.0,Google Alpine Style Backpack
852,GGOEGAAX0795,6911303723241317741,2.0,25L Classic Rucksack
853,GGOEGBRJ037399,6911303723241317741,2.0,Google Rucksack
854,GGOEGBJL013999,6911303723241317741,2.0,Google Canvas Tote Natural/Navy
855,GGOEGBMJ013399,6911303723241317741,2.0,Sport Bag
856,GGOEGGOA017399,5108127937752582001,4.0,Maze Pen
857,GGOEGAAX0318,9762462603607554817,4.0,YouTube Men's Short Sleeve Hero Tee Black
858,GGOEYOCR077799,9762462603607554817,1.5,YouTube Hard Cover Journal
859,GGOEYHPB072210,9762462603607554817,4.0,YouTube Twill Cap
860,GGOEGAAX0104,9762462603607554817,4.0,Google Men's 100% Cotton Short Sleeve Hero Tee White
861,GGOEGKWR060810,9762462603607554817,4.0,Google Bib Red
862,GGOEGBPB021199,9762462603607554817,3.5,Google Slim Utility Travel Bag
863,GGOEGESB015199,9762462603607554817,1.5,Google Flashlight
864,GGOEGETR014599,9762462603607554817,2.5,Google Tube Power Bank
865,GGOEGEHQ071199,9762462603607554817,0.0,"Google High Capacity 10,400mAh Charger"
866,GGOEGAAJ080615,9762462603607554817,-2.5,Google Men's Bike Short Sleeve Tee Charcoal
867,GGOEGAAX0104,9008243837280281377,4.0,Google Men's 100% Cotton Short Sleeve Hero Tee White
868,GGOEGAAX0358,9008243837280281377,5.5,Google Men's  Zip Hoodie
869,GGOEAXXX0812,9008243837280281377,4.0,Android Men's Take Charge Short Sleeve Tee Purple
870,GGOEGAAX0105,9008243837280281377,4.0,Google Men's 100% Cotton Short Sleeve Hero Tee Black
871,GGOEGHPJ080310,9008243837280281377,33.5,Google Blackout Cap
872,GGOEGAAX0342,9008243837280281377,4.0,Google Women's Vintage Hero Tee White
873,GGOEGBJL013999,9008243837280281377,33.5,Google Canvas Tote Natural/Navy
874,GGOEGAAX0074,9008243837280281377,4.0,Google 22 oz Water Bottle
875,GGOEGAAX0313,9008243837280281377,4.0,Google Tri-blend Hoodie Grey
876,GGOEGAAQ010414,9008243837280281377,29.5,Google Men's 100% Cotton Short Sleeve Hero Tee White
877,GGOEGAFB035814,9008243837280281377,29.5,Google Men's  Zip Hoodie
878,GGOEAAAP081214,9008243837280281377,29.5,Android Men's Take Charge Short Sleeve Tee Purple
879,GGOEGAAB010514,9008243837280281377,29.5,Google Men's 100% Cotton Short Sleeve Hero Tee Black
880,GGOEAAEJ035714,9008243837280281377,29.5,Android Men's Vintage Tank
881,GGOEGALQ034215,9008243837280281377,29.5,Google Women's Vintage Hero Tee White
882,GGOEGDHC018299,9008243837280281377,29.5,Google 22 oz Water Bottle
883,GGOEGAAL010616,9008243837280281377,29.5,Google Men's 100% Cotton Short Sleeve Hero Tee Navy
884,GGOEGAEJ031315,9008243837280281377,29.5,Google Tri-blend Hoodie Grey
885,GGOEGAAX0671,0188308435688462855,5.5,Google Toddler Short Sleeve Tee White
886,GGOEGAAX0334,0188308435688462855,2.5,Android Men's Long Sleeve Badge Crew Tee Heather
887,GGOEGAAX0358,0188308435688462855,2.0,Google Men's  Zip Hoodie
888,GGOEGXXX0806,0188308435688462855,1.5,Google Men's Bike Short Sleeve Tee Charcoal
889,GGOEGESB015199,0188308435688462855,3.5,Google Flashlight
890,GGOEGFKA022299,0188308435688462855,37.0,Keyboard DOT Sticker
891,GGOEGAXQ067129,0188308435688462855,33.0,Google Toddler Short Sleeve Tee White
892,GGOEAAEJ033415,0188308435688462855,33.0,Android Men's Long Sleeve Badge Crew Tee Heather
893,GGOEGAAB033815,0188308435688462855,33.0,Google Men's Vintage Badge Tee Black
894,GGOEGOCD078399,0188308435688462855,8.0,Google Leather Perforated Journal
895,GGOEGEVA022399,3424918216070852195,12.0,Micro Wireless Earbud
